name,full_name,birth_date,age,height_cm,weight_kgs,positions,nationality,overall_rating,potential,value_euro,wage_euro,preferred_foot,international_reputation(1-5),weak_foot(1-5),skill_moves(1-5),body_type,release_clause_euro,national_team,national_rating,national_team_position,national_jersey_number,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,freekick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle
9536,9641,4372,31,170.18,72.1,214,6,94,94,110500000.0,565000.0,0,5,4,4,4,226500000.0,4,82.0,22,10.0,86,95,70,92,86,97,93,94,89,96,91,86,93,95,95,85,68,72,66,94,48,22,94,94,75,96,33,28,26
2446,2744,2109,27,154.94,76.2,72,39,88,89,69500000.0,205000.0,1,3,5,4,3,133800000.0,31,78.0,0,10.0,88,81,52,91,80,84,86,87,89,91,76,73,80,88,81,84,50,92,58,89,46,56,84,91,67,88,59,57,22
13031,13054,2641,25,190.5,83.9,228,53,88,91,73000000.0,255000.0,1,4,4,5,6,144200000.0,43,84.0,20,6.0,80,75,75,86,85,87,85,82,90,90,71,79,76,82,66,90,83,88,87,82,78,64,82,88,82,87,63,67,67
9421,9679,4512,27,162.56,59.0,549,76,88,88,62000000.0,165000.0,1,3,4,4,6,105400000.0,52,83.0,14,10.0,86,77,56,85,74,90,87,77,78,93,94,86,94,83,93,75,53,75,44,84,34,26,83,87,61,83,51,24,22
8675,8838,4310,27,187.96,88.9,104,126,88,91,60000000.0,135000.0,1,3,3,2,6,106500000.0,11,76.34189031505251,28,12.456242707117854,30,22,83,68,14,69,28,28,60,63,70,75,50,82,40,55,81,75,94,15,87,88,24,49,33,80,91,88,87
16195,16065,5095,27,193.04,92.1,104,104,88,90,59500000.0,215000.0,1,3,3,2,6,114500000.0,61,81.0,8,4.0,53,52,83,79,45,70,60,70,81,76,74,77,61,87,49,81,88,75,92,64,82,88,41,60,62,87,90,89,84
8737,9298,1732,20,152.4,73.0,801,53,88,95,81000000.0,100000.0,1,3,4,5,3,166100000.0,43,84.0,23,10.0,77,88,77,82,78,90,77,63,73,91,96,96,92,87,83,79,75,83,71,78,62,38,88,82,70,86,34,34,32
14197,14747,4292,30,172.72,69.9,823,6,89,89,64500000.0,300000.0,1,4,4,4,9,119300000.0,4,82.0,28,11.0,70,93,77,81,85,89,82,73,64,89,88,80,86,90,91,88,81,76,73,83,65,24,92,83,83,90,30,20,12
11086,10351,2861,32,193.04,92.1,327,57,89,89,38000000.0,130000.0,1,5,4,1,6,62700000.0,44,85.0,5,1.0,15,13,25,55,11,30,14,11,59,46,54,60,51,84,35,25,77,43,80,16,29,30,12,70,47,70,17,10,11
4269,4315,2104,32,185.42,77.1,823,152,89,89,60000000.0,200000.0,1,4,4,3,3,111000000.0,96,81.0,13,21.0,70,89,89,78,90,80,77,76,52,82,75,76,77,91,59,87,88,92,78,79,84,48,93,77,85,82,52,45,39
15227,14726,4724,30,187.96,76.2,149,133,89,89,51500000.0,315000.0,1,4,3,3,3,105600000.0,86,85.0,2,5.0,62,67,68,89,44,80,66,68,82,88,50,52,66,87,52,61,66,86,77,54,85,87,77,87,60,93,90,86,80
15429,15423,3619,26,198.12,96.2,327,13,89,90,53500000.0,240000.0,0,4,2,1,2,113700000.0,9,85.0,5,1.0,14,14,13,33,12,13,19,20,35,23,46,52,61,84,45,36,68,38,70,17,23,15,13,44,27,66,20,18,16
11655,10413,3465,26,187.96,84.8,327,57,89,92,58000000.0,240000.0,1,3,4,1,6,123300000.0,44,85.0,28,22.0,18,14,11,42,14,17,18,12,47,18,38,50,37,86,43,22,79,35,78,10,43,22,11,70,25,70,25,13,10
570,1434,2765,27,175.26,73.0,215,53,89,90,78000000.0,145000.0,0,4,3,4,3,165800000.0,43,84.0,0,7.0,82,89,84,84,87,87,86,84,78,90,88,85,90,90,82,82,90,86,62,82,73,49,91,85,83,89,59,54,48
11340,11804,4214,26,175.26,71.2,795,42,89,90,78500000.0,265000.0,0,3,3,4,7,151100000.0,34,73.0,23,10.0,78,90,59,83,76,89,83,60,74,88,94,91,91,92,88,80,68,84,70,83,63,55,92,84,75,91,38,43,41
12817,13070,1160,25,152.4,74.8,84,6,89,94,89000000.0,205000.0,0,3,3,4,6,153500000.0,4,82.0,11,21.0,82,84,68,87,88,92,88,88,75,92,87,83,91,86,85,82,75,80,65,88,48,32,84,87,86,84,23,20,20
11681,11722,2055,24,187.96,79.8,104,129,86,93,53500000.0,89000.0,1,1,4,2,6,101700000.0,11,76.34189031505251,28,12.456242707117854,40,42,82,73,40,59,34,30,69,67,70,73,48,83,51,50,78,77,85,30,86,86,30,57,56,81,92,89,84
5319,5153,3996,33,152.4,67.1,140,18,87,87,20500000.0,200000.0,1,3,4,3,3,37900000.0,11,76.34189031505251,28,12.456242707117854,68,69,66,85,74,77,70,72,83,82,68,67,72,89,78,83,78,84,76,78,87,89,70,75,61,79,87,86,80
